Time,date,High,Low,Last,Change,Volume
04/28/2020,23,24.9,22.65,24.34,2.18,83972096
04/27/2020,22.83,23.44,22,22.16,-0.25,50561600
04/24/2020,22.53,22.68,21.75,22.41,-0.07,43766600
04/23/2020,22.65,22.96,22.41,22.48,0.01,43581800
04/22/2020,23.88,23.94,21.63,22.47,-0.63,70221296
04/21/2020,23.02,23.77,22.8,23.1,-0.54,38616700
04/20/2020,23.44,24.12,22.91,23.64,-0.63,42950700
04/17/2020,24.15,24.61,23.59,24.27,1.49,52594400
04/16/2020,23.76,23.8,22.63,22.78,-1.57,57610100
04/15/2020,24.91,25.5,23.31,24.35,-0.19,88092400
04/14/2020,23.99,25.29,23.83,24.54,1.29,60843500
04/13/2020,24.98,25.06,22.08,23.25,-1.14,76172896
04/09/2020,25.4,25.53,23.35,24.39,1.16,91692800
04/08/2020,23.09,23.64,22.53,23.23,0.98,67565104
04/07/2020,25.21,25.85,21.9,22.25,-0.07,98907200
04/06/2020,22.3103,23.5,20.76,22.32,-0.16,95093000
04/03/2020,23.03,23.65,21.75,22.48,-0.2,48967800
04/02/2020,23.92,24.65,22.51,22.68,-1.19,39407400
04/01/2020,26.59,26.59,23.69,23.87,-4.66,56132900
03/31/2020,29.35,30.53,28.42,28.53,-0.14,25002200
03/30/2020,28.49,29.29,26,28.67,-0.88,29527400
03/27/2020,30.72,31.32,29.02,29.55,-2.15,34960700
03/26/2020,32.61,35.89,30.424,31.7,0.6,57913500
03/25/2020,31.49,33.28,27.4,31.1,4.21,70733904
03/24/2020,26.26,28.98,24.52,26.89,4.67,65730200
03/23/2020,22.17,22.83,20.6,22.22,0.87,44426300
03/20/2020,23.17,26.85,21.26,21.35,-0.16,55062900
03/19/2020,23.36,24.15,20,21.51,-1.98,44623300
03/18/2020,29.79,29.79,19.1,23.49,-8.25,64242500
03/17/2020,36.23,37.19,30.6,31.74,-4.07,33097400
03/16/2020,32.8,38.08,31.23,35.81,-2.55,35535300
03/13/2020,38.54,38.74,34.79,38.36,4.65,33052400
03/12/2020,37.47,38.78,33.46,33.71,-8.96,36331800
03/11/2020,44,44.34,41.73,42.67,-2.8,23567700
03/10/2020,45.57,45.88,41.46,45.47,1.95,28693300
03/09/2020,43.04,45.01,42.425,43.52,-2.37,25784700
03/06/2020,43.47,46.9283,42.87,45.89,0.88,25809300
03/05/2020,46.5,46.57,44.4175,45.01,-3.49,22918800
03/04/2020,47.5,48.64,46.021,48.5,2.32,20381700
03/03/2020,49.81,49.97,46.04,46.18,-0.98,26344100
03/02/2020,46.22,47.25,44.33,47.16,1.03,20098700
02/28/2020,46.02,47.7899,45.1352,46.13,-2.06,19860900
02/27/2020,46.72,50.98,45.03,48.19,-1.4,21949000
02/26/2020,51.44,51.77,49,49.59,-1.3,15994700
02/25/2020,54.54,54.71,50.75,50.89,-3.34,15836500
02/24/2020,54.75,55.375,53.335,54.23,-3.64,17983100
02/21/2020,57.96,58.02,56.87,57.87,-0.51,6296000
02/20/2020,58.2,58.99,58.12,58.38,-0.13,5239400
02/19/2020,58.49,58.58,58.03,58.51,-0.21,4399800
02/18/2020,58.87,59.47,58.41,58.72,-0.18,5691800
02/14/2020,59.24,59.47,58.58,58.9,-0.23,3810000
02/13/2020,58.75,59.21,58.35,59.13,-0.34,4353100
02/12/2020,59.29,59.915,59.18,59.47,0.81,5227400
02/11/2020,58.1,59.1,57.97,58.66,0.95,4566400
02/10/2020,57.54,58.12,57.43,57.71,-0.21,4541100
02/07/2020,57.96,58.25,57.52,57.92,-0.26,3836800
02/06/2020,59.8,60.03,58.02,58.18,-0.71,5210200
02/05/2020,58.97,59.2993,58.5998,58.89,0.96,6067200
02/04/2020,57.2,58.4,57.15,57.93,1.89,6880800
02/03/2020,56.2,57.25,56,56.04,0.3,7498900
01/31/2020,56.7,57.08,55.43,55.74,-1.36,9320700
01/30/2020,55.65,57.18,55.65,57.1,0.45,5980700
01/29/2020,57.64,57.8,56.57,56.65,-0.83,5663600
01/28/2020,57.55,57.97,56.75,57.48,0.65,6343600
01/27/2020,56.49,57.18,55.62,56.83,-1.98,13090100
01/24/2020,60.1,60.21,57.84,58.81,-1.46,10989500
01/23/2020,59.19,60.375,58.19,60.27,0.63,7774500
01/22/2020,60.63,60.72,59.56,59.64,-0.7,7096400
01/21/2020,61.25,61.61,58.43,60.34,-1.69,16591900
01/17/2020,62.13,62.48,61.865,62.03,0.15,5770000
01/16/2020,62.06,62.48,61.63,61.88,0.26,4950400
01/15/2020,61.54,61.94,61.03,61.62,0.17,7953400
01/14/2020,62.04,62.25,60.86,61.45,1.96,16460900
01/13/2020,59.03,59.7,59.03,59.49,0.25,8452000
01/10/2020,59.24,59.49,58.62,59.24,0.28,8282200
01/09/2020,59.26,59.47,58.58,58.96,0.11,5336900
01/08/2020,57.75,59.4,57.73,58.85,1.24,8519600
01/07/2020,57.91,58.07,57.47,57.61,-0.05,5635700
01/06/2020,56.99,57.76,56.66,57.66,-0.4,5504400
01/03/2020,57.5,58.12,56.91,58.06,-0.98,9079700
01/02/2020,58.93,59.39,58.45,59.04,0.56,4459800
